season,round,leader_points,num_contenders,contender_teams
2012/13,9,21,3,"M. Tel Aviv, FC Ashdod, Hapoel Tel Aviv"
2012/13,10,22,4,"FC Ashdod, M. Tel Aviv, Hapoel Tel Aviv, Bnei Yehuda"
2012/13,11,25,3,"FC Ashdod, Hapoel Tel Aviv, M. Tel Aviv"
2012/13,12,27,3,"M. Tel Aviv, Hapoel Tel Aviv, FC Ashdod"
2012/13,13,28,3,"M. Tel Aviv, Hapoel Tel Aviv, FC Ashdod"
2012/13,14,29,3,"Hapoel Tel Aviv, M. Tel Aviv, FC Ashdod"
2012/13,15,31,3,"M. Tel Aviv, Hapoel Tel Aviv, FC Ashdod"
2012/13,16,34,2,"M. Tel Aviv, Hapoel Tel Aviv"
2012/13,17,35,2,"M. Tel Aviv, Hapoel Tel Aviv"
2012/13,18,38,2,"M. Tel Aviv, Hapoel Tel Aviv"
2012/13,19,38,3,"M. Tel Aviv, Hapoel Tel Aviv, Maccabi Haifa"
2012/13,20,41,3,"M. Tel Aviv, Maccabi Haifa, Hapoel Tel Aviv"
2012/13,21,44,1,M. Tel Aviv
2012/13,22,47,1,M. Tel Aviv
2012/13,23,50,1,M. Tel Aviv
2012/13,24,53,1,M. Tel Aviv
2012/13,25,56,1,M. Tel Aviv
2012/13,26,59,1,M. Tel Aviv
2013/14,1,3,14,"Maccabi Haifa, H. Beer Sheva, Hapoel Haifa, M. Tel Aviv, Bnei Yehuda, Hapoel Raanana, Bnei Sakhnin, Hapoel Tel Aviv, FC Ashdod, M. Petah Tikva, Kiryat Shmona, B. Jerusalem, Hapoel Acre, Ramat haSharon"
2013/14,2,6,14,"H. Beer Sheva, M. Tel Aviv, Hapoel Haifa, Hapoel Raanana, Bnei Sakhnin, Kiryat Shmona, Maccabi Haifa, B. Jerusalem, FC Ashdod, Bnei Yehuda, Hapoel Tel Aviv, M. Petah Tikva, Hapoel Acre, Ramat haSharon"
2013/14,3,9,11,"M. Tel Aviv, H. Beer Sheva, Bnei Sakhnin, Hapoel Raanana, Hapoel Haifa, Kiryat Shmona, Hapoel Tel Aviv, B. Jerusalem, FC Ashdod, Maccabi Haifa, Bnei Yehuda"
2013/14,4,12,8,"M. Tel Aviv, H. Beer Sheva, Hapoel Raanana, Bnei Sakhnin, Hapoel Tel Aviv, Hapoel Haifa, FC Ashdod, Kiryat Shmona"
2013/14,5,13,9,"M. Tel Aviv, H. Beer Sheva, Hapoel Raanana, Bnei Sakhnin, Hapoel Tel Aviv, FC Ashdod, B. Jerusalem, Kiryat Shmona, Hapoel Haifa"
2013/14,6,16,6,"M. Tel Aviv, H. Beer Sheva, Bnei Sakhnin, B. Jerusalem, Kiryat Shmona, Hapoel Haifa"
2013/14,7,19,3,"M. Tel Aviv, H. Beer Sheva, Hapoel Haifa"
2013/14,8,19,7,"M. Tel Aviv, H. Beer Sheva, Hapoel Haifa, Hapoel Tel Aviv, B. Jerusalem, Bnei Sakhnin, Hapoel Raanana"
2013/14,9,20,6,"M. Tel Aviv, H. Beer Sheva, Hapoel Haifa, Hapoel Tel Aviv, Hapoel Raanana, B. Jerusalem"
2013/14,10,23,3,"M. Tel Aviv, H. Beer Sheva, Hapoel Raanana"
2013/14,11,26,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,12,29,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,13,32,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,14,35,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,15,38,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,16,41,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,17,41,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,18,44,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,19,47,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,20,50,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,21,53,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,22,56,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,23,57,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,24,60,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,25,63,2,"M. Tel Aviv, H. Beer Sheva"
2013/14,26,66,1,M. Tel Aviv
2014/15,1,3,14,"Hapoel Raanana, Maccabi Haifa, M. Tel Aviv, Hapoel Tel Aviv, H. Beer Sheva, B. Jerusalem, Hapoel Acre, Hapoel Haifa, Kiryat Shmona, FC Ashdod, Maccabi Netanya, Bnei Sakhnin, M. Petah Tikva, H. Petah Tikva"
2014/15,2,4,14,"M. Tel Aviv, Kiryat Shmona, H. Beer Sheva, FC Ashdod, B. Jerusalem, Hapoel Raanana, Maccabi Haifa, Hapoel Acre, Maccabi Netanya, Bnei Sakhnin, Hapoel Tel Aviv, Hapoel Haifa, M. Petah Tikva, H. Petah Tikva"
2014/15,3,7,13,"Kiryat Shmona, H. Beer Sheva, Maccabi Haifa, FC Ashdod, B. Jerusalem, M. Tel Aviv, Hapoel Tel Aviv, M. Petah Tikva, Hapoel Raanana, Hapoel Acre, Bnei Sakhnin, Maccabi Netanya, Hapoel Haifa"
2014/15,4,10,10,"Kiryat Shmona, H. Beer Sheva, M. Tel Aviv, FC Ashdod, Maccabi Haifa, B. Jerusalem, Hapoel Tel Aviv, Hapoel Raanana, Hapoel Haifa, M. Petah Tikva"
2014/15,5,13,5,"Kiryat Shmona, H. Beer Sheva, M. Tel Aviv, B. Jerusalem, Hapoel Raanana"
2014/15,6,16,4,"Kiryat Shmona, H. Beer Sheva, M. Tel Aviv, B. Jerusalem"
2014/15,7,17,4,"Kiryat Shmona, H. Beer Sheva, M. Tel Aviv, B. Jerusalem"
2014/15,8,20,3,"Kiryat Shmona, H. Beer Sheva, M. Tel Aviv"
2014/15,9,23,3,"Kiryat Shmona, H. Beer Sheva, M. Tel Aviv"
2014/15,10,24,3,"Kiryat Shmona, H. Beer Sheva, M. Tel Aviv"
